month,date,m02f0.001,m02f0.01,m02f0.05,m02f0.1,m02f0.5,m02f1,m05f0.001,m05f0.01,m05f0.05,m05f0.1,m05f0.5,m05f1,m08f0.001,m08f0.01,m08f0.05,m08f0.1,m08f0.5,m08f1,m11f0.001,m11f0.01,m11f0.05,m11f0.1,m11f0.5,m11f1
1,2014-04-15,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
2,2014-05-15,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
3,2014-06-15,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
4,2014-07-15,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21
5,2014-08-15,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
6,2014-09-15,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
7,2014-10-15,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13
8,2014-11-15,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11
9,2014-12-15,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
10,2015-01-15,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
11,2015-02-15,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
12,2015-03-15,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
13,2015-04-15,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
14,2015-05-15,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
15,2015-06-15,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
16,2015-07-15,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
17,2015-08-15,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
18,2015-09-15,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
19,2015-10-15,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
20,2015-11-15,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
21,2015-12-15,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
22,2016-01-15,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
23,2016-02-15,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
24,2016-03-15,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
25,2016-04-15,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02
26,2016-05-15,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07
27,2016-06-15,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90,7.90
28,2016-07-15,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21
29,2016-08-15,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20
30,2016-09-15,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14
31,2016-10-15,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23
32,2016-11-15,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39
33,2016-12-15,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22
34,2017-01-15,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96
35,2017-02-15,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73
36,2017-03-15,15.41,15.37,15.18,14.94,14.01,14.01,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60
37,2017-04-15,15.10,15.01,14.66,14.25,12.28,10.83,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73
38,2017-05-15,14.79,14.67,14.17,13.62,11.35,10.44,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35
39,2017-06-15,14.49,14.33,13.71,13.06,10.81,10.24,16.02,15.98,15.78,15.54,13.60,11.17,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72
40,2017-07-15,14.19,14.01,13.29,12.58,10.61,10.07,15.70,15.61,15.25,14.82,12.33,10.94,19.76,19.76,19.76,19.76,19.76,19.76,19.76,19.76,19.76,19.76,19.76,19.76
41,2017-08-15,13.91,13.69,12.92,12.22,10.47,9.96,15.38,15.26,14.74,14.17,11.59,10.74,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69
42,2017-09-15,13.63,13.39,12.60,11.96,10.36,9.87,15.07,14.91,14.27,13.60,11.18,10.56,22.23,22.17,21.91,21.57,18.90,15.55,24.75,24.75,24.75,24.75,24.75,24.75
43,2017-10-15,13.35,13.10,12.34,11.78,10.25,9.78,14.76,14.57,13.82,13.10,10.98,10.38,21.78,21.67,21.16,20.57,17.13,15.24,25.81,25.81,25.81,25.81,25.81,25.81
44,2017-11-15,13.08,12.82,12.11,11.57,10.09,9.64,14.46,14.24,13.41,12.67,10.77,10.18,21.34,21.17,20.45,19.66,16.06,14.94,25.83,25.83,25.83,25.83,25.83,25.83
45,2017-12-15,12.82,12.55,11.88,11.35,9.90,9.46,14.17,13.92,13.03,12.30,10.56,9.99,20.91,20.68,19.78,18.84,15.38,14.64,25.30,25.23,24.93,24.54,23.90,23.90
46,2018-01-15,12.56,12.28,11.64,11.13,9.71,9.28,13.88,13.60,12.68,11.97,10.35,9.79,20.48,20.21,19.15,18.10,14.90,14.35,24.79,24.65,24.07,23.45,22.82,22.82
47,2018-02-15,12.30,12.03,11.42,10.91,9.53,9.11,13.60,13.30,12.34,11.66,10.15,9.60,20.07,19.75,18.55,17.43,14.52,14.06,24.29,24.09,23.27,22.41,21.60,21.60
48,2018-03-15,12.05,11.78,11.20,10.71,9.37,8.97,13.32,13.00,12.02,11.39,9.96,9.42,19.66,19.30,17.99,16.82,14.23,13.79,23.79,23.54,22.51,21.47,19.87,19.87
49,2018-04-15,11.81,11.56,11.02,10.55,9.27,8.88,13.05,12.71,11.74,11.17,9.79,9.27,19.26,18.86,17.46,16.28,13.96,13.53,23.31,23.00,21.79,20.63,18.20,16.93
50,2018-05-15,11.58,11.38,10.90,10.47,9.29,8.94,12.79,12.45,11.53,10.99,9.68,9.18,18.87,18.44,16.99,15.84,13.71,13.30,22.84,22.48,21.12,19.88,17.29,16.45
51,2018-06-15,11.38,11.31,10.96,10.61,9.62,9.32,12.53,12.22,11.39,10.90,9.69,9.23,18.49,18.04,16.61,15.55,13.53,13.13,22.37,21.97,20.52,19.27,16.92,16.16
52,2018-07-15,11.26,11.48,11.37,11.14,10.46,10.25,12.29,12.07,11.41,10.99,9.96,9.57,18.12,17.68,16.36,15.36,13.44,13.06,21.92,21.49,20.01,18.82,16.66,15.93
53,2018-08-15,11.40,12.25,12.51,12.48,12.21,12.12,12.09,12.14,11.79,11.51,10.79,10.52,17.76,17.40,16.25,15.33,13.57,13.23,21.48,21.04,19.64,18.56,16.49,15.79
54,2018-09-15,11.80,13.18,13.70,13.78,13.74,13.70,11.94,12.36,12.31,12.15,11.68,11.50,17.43,17.20,16.21,15.37,13.78,13.47,21.05,20.64,19.36,18.34,16.36,15.70
55,2018-10-15,12.20,13.87,14.52,14.66,14.72,14.70,11.84,12.56,12.72,12.64,12.32,12.18,17.11,17.01,16.14,15.37,13.92,13.64,20.63,20.26,19.08,18.10,16.21,15.58
56,2018-11-15,12.23,13.96,14.63,14.78,14.87,14.85,11.69,12.52,12.74,12.69,12.42,12.29,16.79,16.74,15.93,15.20,13.82,13.55,20.22,19.88,18.75,17.80,15.97,15.35
57,2018-12-15,12.08,13.81,14.47,14.63,14.72,14.70,11.49,12.34,12.59,12.54,12.29,12.18,16.46,16.43,15.66,14.95,13.61,13.35,19.82,19.49,18.39,17.47,15.68,15.07
58,2019-01-15,11.88,13.58,14.24,14.39,14.48,14.47,11.28,12.13,12.38,12.34,12.10,11.99,16.14,16.11,15.36,14.67,13.36,13.11,19.42,19.11,18.03,17.13,15.38,14.79
59,2019-02-15,11.70,13.38,14.03,14.18,14.28,14.27,11.08,11.94,12.20,12.16,11.93,11.82,15.82,15.81,15.08,14.41,13.14,12.90,19.03,18.73,17.68,16.80,15.09,14.51
60,2019-03-15,11.58,13.26,13.90,14.06,14.16,14.15,10.91,11.80,12.08,12.05,11.85,11.75,15.53,15.54,14.84,14.20,12.97,12.74,18.65,18.38,17.36,16.50,14.83,14.27
61,2019-04-15,11.63,13.34,14.00,14.17,14.29,14.28,10.83,11.81,12.15,12.14,11.98,11.89,15.27,15.33,14.71,14.11,12.96,12.74,18.30,18.06,17.08,16.26,14.65,14.11
62,2019-05-15,12.04,13.83,14.53,14.71,14.87,14.87,10.93,12.13,12.59,12.62,12.54,12.48,15.09,15.28,14.79,14.26,13.24,13.05,17.98,17.81,16.92,16.15,14.64,14.13
63,2019-06-15,13.05,14.98,15.73,15.95,16.16,16.17,11.46,13.01,13.65,13.76,13.80,13.76,15.11,15.55,15.28,14.87,14.08,13.92,17.77,17.74,17.00,16.32,14.98,14.53
64,2019-07-15,14.74,16.79,17.60,17.84,18.10,18.13,12.61,14.56,15.39,15.56,15.71,15.71,15.48,16.28,16.33,16.08,15.55,15.45,17.77,17.98,17.49,16.94,15.86,15.51
65,2019-08-15,17.33,19.49,20.35,20.62,20.94,20.97,14.72,17.03,18.02,18.25,18.51,18.53,16.54,17.82,18.25,18.19,17.95,17.89,18.22,18.82,18.69,18.34,17.60,17.36
66,2019-09-15,19.19,21.41,22.30,22.59,22.93,22.97,16.38,18.84,19.91,20.16,20.46,20.49,17.58,19.16,19.80,19.83,19.73,19.69,18.78,19.67,19.79,19.58,19.05,18.88
67,2019-10-15,20.20,22.43,23.33,23.62,23.97,24.01,17.33,19.83,20.93,21.19,21.50,21.54,18.23,19.93,20.67,20.74,20.71,20.67,19.13,20.18,20.44,20.30,19.88,19.74
